                  id                  |   country   |        state        |            county             |            city            | longitude | latitude |              parent_id               
 0894f419-3b32-44dc-a90c-fb052b252113 | Deutschland | Nordrhein-Westfalen | Kreis Warendorf               | Beelen                     |     8.118 |   51.930 | b91b5153-cbe5-4db5-bea1-8304731120e1
 01bc2824-8a10-4a58-a7ae-a5da3a70cd75 | Deutschland | Niedersachsen       | Landkreis Cloppenburg         | Lastrup                    |     7.864 |   52.796 | 6660f9f8-9d22-4ba7-84a0-fb3005912fdf
 e6e82da9-9c1a-4b60-b0da-e95b97326337 | Deutschland | Niedersachsen       | Landkreis Verden              | Oyten                      |     9.019 |   53.060 | e1d93c64-c0e1-44ba-a0df-cfc03baec684
 6a3ef69f-d1d1-481f-961d-252ee770880c | Deutschland | Bremen              |                               |                            |     8.807 |   53.076 | 716d268e-6dd9-4d02-a15c-4bec9f582c00
 f184e724-6547-4d2a-bb71-bb5cf509cb6b | Deutschland | Nordrhein-Westfalen | Hochsauerlandkreis            | Sundern                    |     8.007 |   51.330 | 0a7d51be-b82e-42c2-987e-4f30dc2a7575
 93adaa8e-a93c-458a-82e4-f2acf0d196d4 | Deutschland | Bremen              | Bremen                        |                            |     8.807 |   53.076 | 6a3ef69f-d1d1-481f-961d-252ee770880c
 73e67391-ec04-45a0-a45f-31ce0b5348f7 | Deutschland | Bremen              | Bremen                        | Bremen                     |     8.807 |   53.076 | 93adaa8e-a93c-458a-82e4-f2acf0d196d4
 4d9685d0-0c90-4073-8714-418d72b81370 | Deutschland | Niedersachsen       | Landkreis Osterholz           |                            |     8.744 |   53.260 | 4478acee-0196-4b69-9cde-6a5806d09ae4
 6a2243f5-e52c-4496-8a7a-c06411b09bbc | Deutschland | Niedersachsen       | Landkreis Osterholz           | Schwanewede                |     8.594 |   53.226 | 4d9685d0-0c90-4073-8714-418d72b81370
 77678628-e890-4900-995d-9f3cc7390e5e | Deutschland | Nordrhein-Westfalen | Bielefeld                     |                            |     8.531 |   52.019 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 bbacbd55-9bd8-415f-b736-5268be93c780 | Deutschland | Nordrhein-Westfalen | Bielefeld                     | Bielefeld                  |     8.531 |   52.019 | 77678628-e890-4900-995d-9f3cc7390e5e
 65f86ce7-e5df-4baf-b7e5-daed50573586 | Deutschland | Niedersachsen       | Landkreis Nienburg/Weser      |                            |     9.258 |   52.649 | 4478acee-0196-4b69-9cde-6a5806d09ae4
